"V1","V2"
5.69657794403611,5.88707237300696
4.56828503089491,6.01044929621276
9.46964055963326,10.5705106564565
8.52525187673746,8.80424108711304
4.39805420557968,4.88253441010602
8.50045419373782,9.5683110888931
5.69068793329643,7.12497018900467
6.18284083419712,7.45406511909096
2.54075316549279,2.61988333403133
6.63057805231074,7.21928547689458
8.48716704931576,9.49010454851668
5.71515330177499,6.1814766873722
3.69884036015719,4.36825253535062
9.87197853461839,10.3606830479112
5.84627833159175,6.32628108619247
5.8000107712578,6.00979238306172
7.23911991750356,7.24129484186415
3.11004047270399,4.58728288684506
7.46639686345588,8.2010559263872
7.41876464185771,7.99642798455898
3.21162342606112,4.58634317340329
6.26838061842136,6.5915599365253
9.25622792023933,9.67151325341547
6.80320566444425,7.63050291017862
4.41118746210122,4.85031402151799
